Time_s,Displacement_Linear_m,Displacement_Sine_m,Displacement_Exp_m,Displacement_Poly5_m
0.316,0.029309,0.0434560360795231,0.0724374579255715,0.0195389466933474
0.318,0.02968,0.0439737778460082,0.0730924898225528,0.0199282272954074
0.32,0.0300533333333333,0.0444939792238423,0.0737483447918429,0.0203218478386173
0.322,0.030429,0.0450166259514421,0.0744050092292531,0.02071980057994
0.324,0.030807,0.0455417037001834,0.0750624697554522,0.02112207701002
0.326,0.0311873333333333,0.0460691980747946,0.0757207132122499,0.0215286678554647
0.328,0.03157,0.0465990946137508,0.0763797266589416,0.0219395630813333
0.33,0.031955,0.0471313787896708,0.0770394973687139,0.0223547518938333
0.332,0.0323423333333333,0.0476660360097151,0.0777000128251089,0.0227742227432239
0.334,0.032732,0.0482030516159858,0.0783612607185477,0.0231979633269274
0.336,0.033124,0.0487424108859288,0.0790232289429108,0.0236259605928474
0.338,0.0335183333333333,0.0492840990327374,0.0796859055921752,0.0240582007428951
0.34,0.033915,0.0498281012057573,0.0803492789571072,0.0244946692367222
0.342,0.034314,0.0503744024908941,0.0810133375220098,0.0249353507956622
0.344,0.0347153333333333,0.0509229879110222,0.0816780699615236,0.025380229406878
0.346,0.035119,0.0514738424263951,0.082343465137481,0.0258292883277178
0.348,0.035525,0.0520269509350581,0.0830095120958121,0.0262825100902778
0.35,0.0359333333333333,0.052582298273262,0.0836762000635017,0.0267398765061728
0.352,0.036344,0.0531398692158789,0.0843435184455972,0.0272013686715141
0.354,0.036757,0.0536996484768198,0.0850114568222648,0.0276669669720941
0.356,0.0371723333333333,0.0542616207094536,0.0856800049458958,0.0281366510887795
0.358,0.03759,0.0548257705070276,0.0863491527382591,0.0286104000031111
0.36,0.03801,0.05539208240309,0.0870188902877026,0.0290881920031111
0.362,0.0384323333333333,0.0559605408719143,0.087689207846399,0.029570004689298
0.364,0.038857,0.0565311303289243,0.0883600958276387,0.0300558149809089
0.366,0.039284,0.0571038351311218,0.0890315448031663,0.0305455991223289
0.368,0.0397133333333333,0.0576786395775154,0.0897035455005618,0.0310393326897284
0.37,0.040145,0.0582555279095508,0.0903760888006648,0.0315369905979074
0.372,0.040579,0.058834484311543,0.0910491657350415,0.0320385471073474
0.374,0.0410153333333333,0.0594154929111098,0.0917227674834931,0.0325439758314706
0.376,0.041454,0.0599985377796068,0.0923968853716059,0.0330532497441067
0.378,0.041895,0.0605836029325646,0.0930715108683416,0.0335663411871667
0.38,0.0423383333333333,0.0611706723301264,0.0937466355836679,0.0340832218785247
0.382,0.042784,0.0617597298774881,0.094422251266227,0.0346038629201067
0.384,0.043232,0.0623507594253396,0.0950983498010444,0.0351282348061867
0.386,0.0436823333333333,0.062943744770307,0.0957749232072744,0.0356563074318906
0.388,0.044135,0.0635386696553978,0.0964519636359827,0.0361880501019074
0.39,0.04459,0.0641355177704457,0.0971294633679669,0.0367234315394074
0.392,0.0450473333333333,0.0647342727525581,0.0978074148116114,0.0372624198951684
0.394,0.045507,0.0653349181865646,0.0984858105007793,0.0378049827569089
0.396,0.045969,0.0659374376054674,0.099164643092738,0.0383510871588289
0.398,0.0464333333333333,0.0665418144908921,0.0998439053661193,0.038900699591358
0.4,0.0469,0.0671480322735412,0.1005235902189143,0.0394537860111111
0.402,0.047369,0.067756074333648,0.1012036906664994,0.0400103118510511
0.404,0.0478403333333333,0.0683659240014321,0.101884199839697,0.0405702420308595
0.406,0.048314,0.0689775645575569,0.1025651109828669,0.0411335409675141
0.408,0.04879,0.0695909792335876,0.1032464174520299,0.0417001725860741
0.41,0.0492683333333333,0.070206151212451,0.1039281127130221,0.0422701003306728
0.412,0.049749,0.0708230636288965,0.1046101903396797,0.0428432871757178
0.414,0.050232,0.0714416995699586,0.1052926440120542,0.0434196956372978
0.416,0.0507173333333333,0.0720620420754204,0.1059754675146566,0.043999287784798
0.418,0.051205,0.0726840741382789,0.1066586547347309,0.0445820252527222
0.42,0.051695,0.0733077787052108,0.1073421996605561,0.0451678692527222
0.422,0.0521873333333333,0.0739331386770402,0.1080260963797761,0.045756780585835
0.424,0.052682,0.0745601369092078,0.1087103390777576,0.0463487196549274
0.426,0.053179,0.0751887562122403,0.1093949220359746,0.0469436464773474
0.428,0.0536783333333333,0.0758189793522218,0.1100798396304201,0.0475415206977839
0.43,0.05418,0.0764507890512667,0.1107650863300438,0.0481423016013333
0.432,0.054684,0.077084167987993,0.1114506566952156,0.0487459481267733
0.434,0.0551903333333333,0.077719098797997,0.1121365453762144,0.0493524188800447
0.436,0.055699,0.0783555640743299,0.1128227471117424,0.04996167214794
0.438,0.05621,0.0789935463679747,0.1135092567274634,0.050573665912
0.44,0.0567233333333333,0.0796330281883245,0.1141960691345654,0.0511883578626173
0.442,0.057239,0.0802739920036622,0.1148831793283471,0.0518057054133474
0.444,0.057757,0.080916420241641,0.1155705823868276,0.0524256657154274
0.446,0.0582773333333333,0.0815602952897662,0.1162582734693792,0.0530481956725017
0.448,0.0588,0.0822055994958782,0.1169462478153826,0.0536732519555556
0.45,0.059325,0.0828523151686361,0.117634500742905,0.0543007910180556
0.452,0.0598523333333333,0.0835004245780031,0.1183230276473988,0.054930769111298
0.454,0.060382,0.0841499099557323,0.1190118240004229,0.0555631422999644
0.456,0.060914,0.0848007534958541,0.1197008853483849,0.0561978664778845
0.458,0.0614483333333333,0.085452937355164,0.1203902073113037,0.0568348973840062
0.46,0.061985,0.086106443653712,0.121079785581593,0.0574741906185741
0.462,0.062524,0.0867612544752929,0.1217696159228645,0.0581157016595141
0.464,0.0630653333333334,0.0874173518679372,0.1224596941687514,0.0587593858790262
0.466,0.063609,0.0880747178444036,0.1231500162217509,0.0594051985603844
0.468,0.064155,0.0887333343826715,0.1238405780520857,0.0600530949149444
0.47,0.0647033333333334,0.089393183426436,0.1245313756965852,0.060703030099358
0.472,0.065254,0.0900542468856023,0.1252224052575839,0.0613549592329956
0.474,0.065807,0.0907165066367816,0.1259136629018395,0.0620088374155756
0.476,0.0663623333333334,0.0913799445237883,0.1266051448594671,0.0626646197450017
0.478,0.06692,0.0920445423581376,0.1272968474228929,0.0633222613354074
0.48,0.06748,0.0927102819195442,0.1279887669458238,0.0639817173354074
0.482,0.0680423333333333,0.0933771449564217,0.1286808998422345,0.0646429429465573
0.484,0.068607,0.0940451131863831,0.1293732425853716,0.06530589344202
0.486,0.069174,0.094714168296742,0.1300657917067739,0.06597052418544
0.488,0.0697433333333333,0.0953842919450144,0.1307585437953086,0.0666367906500247
0.49,0.070315,0.0960554657594221,0.1314514954962242,0.0673046484378334
0.492,0.070889,0.096727671339396,0.1321446435102182,0.0679740532992734
0.494,0.0714653333333334,0.0974008902560804,0.1328379845925207,0.068644961152804
0.496,0.072044,0.0980751040528388,0.1335315155519934,0.0693173281048474
0.498,0.072625,0.0987502942457593,0.1342252332502426,0.0699911104699074
0.5,0.0732083333333334,0.0994264423241616,0.1349191346007479,0.0706662647908951
0.502,0.073794,0.1001035297511047,0.1356132165680045,0.0713427478596622
0.504,0.074382,0.1007815379638948,0.13630747616668,0.0720205167377423
0.506,0.0749723333333333,0.1014604483745941,0.1370019104607854,0.0726995287772981
0.508,0.075565,0.1021402423705308,0.1376965165628592,0.0733797416422778
0.51,0.07616,0.1028209013148092,0.1383912916331654,0.0740611133297778
0.512,0.0767573333333334,0.1035024065468204,0.1390862328789047,0.0747436021916129
0.514,0.077357,0.1041847393827543,0.139781337553439,0.0754271669560941
0.516,0.077959,0.1048678811161114,0.1404766029555278,0.0761117667500141
0.518,0.0785633333333334,0.1055518130182161,0.1411720264285782,0.0767973611208395
0.52,0.07917,0.1062365163387298,0.1418676053599072,0.0774839100591111
0.522,0.079779,0.106921972306165,0.1425633371800153,0.0781713740210511
0.524,0.0803903333333333,0.1076081621284002,0.1432592193618733,0.0788597139513781
0.526,0.081004,0.1082950669931948,0.1439552494202201,0.0795488913063289
0.528,0.08162,0.1089826680687048,0.1446514249108724,0.0802388680768889
0.53,0.0822383333333334,0.1096709465039996,0.1453477434300454,0.0809296068122284
0.532,0.082859,0.1103598834295781,0.1460442026136858,0.0816210706433474
0.534,0.083482,0.1110494599578864,0.1467408001368144,0.0823132233069274
0.536,0.0841073333333333,0.1117396571838358,0.1474375337128806,0.0830060291693906
0.538,0.084735,0.1124304561853205,0.148134401093127,0.0836994532511667
0.54,0.085365,0.1131218380237371,0.1488314000659652,0.0843934612511667
0.542,0.0859973333333333,0.1138137837445032,0.149528528456361,0.0850880195714647
0.544,0.086632,0.1145062743775773,0.1502257841252301,0.0857830953421867
0.546,0.087269,0.1151992909379789,0.1509231649688445,0.0864786564466067
0.548,0.0879083333333334,0.1158928144263089,0.1516206689182477,0.0871746715464506
0.55,0.08855,0.1165868258292706,0.1523182939386799,0.0878711101074074
0.552,0.089194,0.1172813061201907,0.153016038029013,0.0885679424248474
0.554,0.0898403333333334,0.1179762362595413,0.1537138992211948,0.0892651396497484
0.556,0.090489,0.1186715971954616,0.1544118755797018,0.0899626738148289
0.558,0.09114,0.1193673698642802,0.1551099652010021,0.0906605178608889
0.56,0.0917933333333334,0.120063535191038,0.1558081662130264,0.091358645663358
0.562,0.092449,0.1207600740900109,0.1565064767746481,0.0920570320590511
0.564,0.093107,0.121456967465233,0.1572048950751715,0.0927556528731311
0.566,0.0937673333333333,0.1221541962110206,0.1579034193338292,0.0934544849462795
0.568,0.09443,0.1228517412124952,0.1586020477992874,0.0941535061620741
0.57,0.095095,0.1235495833461084,0.159300778749159,0.0948526954745741
0.572,0.0957623333333334,0.1242477034801656,0.1599996104895257,0.0955520329361128
0.574,0.096432,0.1249460824753505,0.1606985413544672,0.0962514997252978
0.576,0.097104,0.1256447011852502,0.1613975697055984,0.0969510781752178
0.578,0.0977783333333334,0.1263435404568801,0.1620966939316142,0.097650751801858
0.58,0.098455,0.1270425811312083,0.1627959124478422,0.0983505053327222
0.582,0.099134,0.1277418040436816,0.1634952236958024,0.0990503247356622
0.584,0.0998153333333333,0.1284411900247508,0.1641946261427739,0.0997501972479151
0.586,0.100499,0.1291407199003959,0.1648941182813697,0.1004501114053474
0.588,0.101185,0.1298403744926519,0.1655936986291177,0.1011500570719074
0.59,0.1018733333333333,0.1305401346201348,0.1662933657280487,0.101850025469284
0.592,0.102564,0.1312399810985672,0.166993118144292,0.1025500092067734
0.594,0.103257,0.1319398947413044,0.1676929544676762,0.1032500023113533
0.596,0.1039523333333333,0.1326398563598602,0.1683928733113385,0.1039500002579647
0.598,0.10465,0.1333398467644334,0.1690928733113385,0.10465
0.6,0.10535,0.1340398467644334,0.1697928733113385,0.10535
0.602,0.10605,0.1347398467644334,0.1704928733113385,0.10605
0.604,0.10675,0.1354398467644334,0.1711928733113384,0.10675
0.606,0.10745,0.1361398467644334,0.1718928733113384,0.10745
0.608,0.10815,0.1368398467644334,0.1725928733113384,0.10815
0.61,0.10885,0.1375398467644334,0.1732928733113384,0.10885
0.612,0.10955,0.1382398467644334,0.1739928733113384,0.10955
0.614,0.11025,0.1389398467644333,0.1746928733113384,0.11025
0.616,0.11095,0.1396398467644333,0.1753928733113384,0.11095
0.618,0.11165,0.1403398467644333,0.1760928733113384,0.11165
0.62,0.11235,0.1410398467644333,0.1767928733113384,0.11235
0.622,0.11305,0.1417398467644333,0.1774928733113384,0.11305
0.624,0.11375,0.1424398467644333,0.1781928733113384,0.11375
0.626,0.11445,0.1431398467644332,0.1788928733113383,0.11445
0.628,0.11515,0.1438398467644332,0.1795928733113383,0.11515
0.63,0.11585,0.1445398467644332,0.1802928733113383,0.11585
0.632,0.11655,0.1452398467644332,0.1809928733113383,0.11655
0.634,0.1172500000000001,0.1459398467644332,0.1816928733113383,0.1172500000000001
0.636,0.1179500000000001,0.1466398467644332,0.1823928733113383,0.1179500000000001
0.638,0.11865,0.1473398467644332,0.1830928733113382,0.11865
0.64,0.1193500000000001,0.1480398467644332,0.1837928733113382,0.1193500000000001
0.642,0.1200500000000001,0.1487398467644332,0.1844928733113382,0.1200500000000001
0.644,0.1207500000000001,0.1494398467644332,0.1851928733113382,0.1207500000000001
0.646,0.1214500000000001,0.1501398467644332,0.1858928733113382,0.1214500000000001
0.648,0.1221500000000001,0.1508398467644331,0.1865928733113382,0.1221500000000001
0.65,0.1228500000000001,0.1515398467644331,0.1872928733113382,0.1228500000000001
0.652,0.1235500000000001,0.1522398467644331,0.1879928733113382,0.1235500000000001
0.654,0.1242500000000001,0.1529398467644331,0.1886928733113382,0.1242500000000001
0.656,0.1249500000000001,0.1536398467644331,0.1893928733113382,0.1249500000000001
0.658,0.1256500000000001,0.1543398467644331,0.1900928733113382,0.1256500000000001
0.66,0.1263500000000001,0.1550398467644331,0.1907928733113381,0.1263500000000001
0.662,0.1270500000000001,0.155739846764433,0.1914928733113381,0.1270500000000001
0.664,0.1277500000000001,0.156439846764433,0.1921928733113381,0.1277500000000001
0.666,0.1284500000000001,0.157139846764433,0.1928928733113381,0.1284500000000001
0.668,0.1291500000000001,0.157839846764433,0.1935928733113381,0.1291500000000001
0.67,0.1298500000000001,0.158539846764433,0.1942928733113381,0.1298500000000001
0.672,0.1305500000000001,0.159239846764433,0.194992873311338,0.1305500000000001
0.674,0.13125,0.159939846764433,0.195692873311338,0.13125
0.676,0.13195,0.160639846764433,0.196392873311338,0.13195
0.678,0.13265,0.161339846764433,0.197092873311338,0.13265
0.68,0.13335,0.162039846764433,0.197792873311338,0.13335
0.682,0.13405,0.162739846764433,0.198492873311338,0.13405
0.684,0.13475,0.1634398467644329,0.199192873311338,0.13475
0.686,0.13545,0.1641398467644329,0.199892873311338,0.13545
0.688,0.13615,0.1648398467644329,0.200592873311338,0.13615
0.69,0.13685,0.1655398467644329,0.201292873311338,0.13685
0.692,0.13755,0.1662398467644329,0.201992873311338,0.13755
0.694,0.13825,0.1669398467644329,0.202692873311338,0.13825
0.696,0.1389499999999999,0.1676398467644328,0.2033928733113379,0.1389499999999999
0.698,0.1396499999999999,0.1683398467644329,0.2040928733113379,0.1396499999999999
0.7,0.1403499999999999,0.1690398467644328,0.2047928733113379,0.1403499999999999
0.702,0.1410499999999999,0.1697398467644328,0.2054928733113379,0.1410499999999999
0.704,0.1417499999999999,0.1704398467644328,0.2061928733113379,0.1417499999999999
0.706,0.1424499999999999,0.1711398467644328,0.2068928733113379,0.1424499999999999
0.708,0.1431499999999998,0.1718398467644328,0.2075928733113378,0.1431499999999998
0.71,0.1438499999999999,0.1725398467644328,0.2082928733113378,0.1438499999999999
0.712,0.1445499999999998,0.1732398467644328,0.2089928733113378,0.1445499999999998
0.714,0.1452499999999998,0.1739398467644328,0.2096928733113378,0.1452499999999998
0.716,0.1459499999999998,0.1746398467644328,0.2103928733113378,0.1459499999999998
0.718,0.1466499999999998,0.1753398467644327,0.2110928733113378,0.1466499999999998
0.72,0.1473499999999998,0.1760398467644328,0.2117928733113378,0.1473499999999998
0.722,0.1480499999999998,0.1767398467644327,0.2124928733113378,0.1480499999999998
0.724,0.1487499999999998,0.1774398467644327,0.2131928733113378,0.1487499999999998
0.726,0.1494499999999998,0.1781398467644327,0.2138928733113378,0.1494499999999998
0.728,0.1501499999999998,0.1788398467644327,0.2145928733113378,0.1501499999999998
0.73,0.1508499999999997,0.1795398467644326,0.2152928733113377,0.1508499999999997
0.732,0.1515499999999998,0.1802398467644327,0.2159928733113377,0.1515499999999998
0.734,0.1522499999999997,0.1809398467644326,0.2166928733113377,0.1522499999999997
0.736,0.1529499999999997,0.1816398467644326,0.2173928733113377,0.1529499999999997
0.738,0.1536499999999997,0.1823398467644326,0.2180928733113377,0.1536499999999997
0.74,0.1543499999999997,0.1830398467644326,0.2187928733113377,0.1543499999999997
0.742,0.1550499999999996,0.1837398467644326,0.2194928733113376,0.1550499999999996
0.744,0.1557499999999997,0.1844398467644326,0.2201928733113376,0.1557499999999997
