Time_s,Velocity_Linear_mps,Velocity_Sine_mps,Velocity_Exp_mps,Velocity_Poly5_mps
10.382,0.35,0.35,0.35,0.35
10.384,0.35,0.35,0.35,0.35
10.386,0.35,0.35,0.35,0.35
10.388,0.35,0.35,0.35,0.35
10.39,0.35,0.35,0.35,0.35
10.392,0.35,0.35,0.35,0.35
10.394,0.35,0.35,0.35,0.35
10.396,0.35,0.35,0.35,0.35
10.398,0.35,0.35,0.35,0.35
10.4,0.35,0.35,0.35,0.35
10.402,0.35,0.35,0.35,0.35
10.404,0.35,0.35,0.35,0.35
10.406,0.35,0.35,0.35,0.35
10.408,0.35,0.35,0.35,0.35
10.41,0.35,0.35,0.35,0.35
10.412,0.35,0.35,0.35,0.35
10.414,0.35,0.35,0.35,0.35
10.416,0.35,0.35,0.35,0.35
10.418,0.35,0.35,0.35,0.35
10.42,0.35,0.35,0.35,0.35
10.422,0.35,0.35,0.35,0.35
10.424,0.35,0.35,0.35,0.35
10.426,0.35,0.35,0.35,0.35
10.428,0.35,0.35,0.35,0.35
10.43,0.35,0.35,0.35,0.35
10.432,0.35,0.35,0.35,0.35
10.434,0.35,0.35,0.35,0.35
10.436,0.35,0.35,0.35,0.35
10.438,0.35,0.35,0.35,0.35
10.44,0.35,0.35,0.35,0.35
10.442,0.35,0.35,0.35,0.35
10.444,0.35,0.35,0.35,0.35
10.446,0.35,0.35,0.35,0.35
10.448,0.35,0.35,0.35,0.35
10.45,0.35,0.35,0.35,0.35
10.452,0.35,0.35,0.35,0.35
10.454,0.35,0.35,0.35,0.35
10.456,0.35,0.35,0.35,0.35
10.458,0.35,0.35,0.35,0.35
10.46,0.35,0.35,0.35,0.35
10.462,0.35,0.35,0.35,0.35
10.464,0.35,0.35,0.35,0.35
10.466,0.35,0.35,0.35,0.35
10.468,0.35,0.35,0.35,0.35
10.47,0.35,0.35,0.35,0.35
10.472,0.35,0.35,0.35,0.35
10.474,0.35,0.35,0.35,0.35
10.476,0.35,0.35,0.35,0.35
10.478,0.35,0.35,0.35,0.35
10.48,0.35,0.35,0.35,0.35
10.482,0.35,0.35,0.35,0.35
10.484,0.35,0.35,0.35,0.35
10.486,0.35,0.35,0.35,0.35
10.488,0.35,0.35,0.35,0.35
